,text,intent
0,Hi,greeting
1,How are you,greeting
2,Warm welcome ,greeting
3,Thank you ,greeting
4,How do you do ,greeting
5,Nice to meet you,greeting
6,All the best,greeting
7,Pleased to meet you,greeting
8,Hey ,greeting
9,Best wishes,greeting
10,Good wishes,greeting
11,What's happening ,greeting
12,Welcome,greeting
13,How goes it,greeting
14,Regard,greeting
15,Greetings,greeting
16,Is anyone there?,greeting
17,Hello,greeting
18,Good day,greeting
19,Welcome back,greeting
20,Whats up,greeting
21,how are ya,greeting
22,heyy,greeting
23,hello there,greeting
24,How is everything,greeting
25,Good to see you,greeting
26,Hello!,greeting
27,Hi there!,greeting
28,Greetings!,greeting
29,Good day!,greeting
30,Hey!,greeting
31,Welcome!,greeting
32,Hi! Nice to meet you.,greeting
33,How can I assist you today?,greeting
34,Good to see you!,greeting
35,Salutations!,greeting
36,How may I help you?,greeting
37,Nice seeing you!,greeting
38,Greetings and salutations!,greeting
39,"Hello, how can I be of service?",greeting
40,Welcome aboard!,greeting
41,Aloha!,greeting
42,Bonjour!,greeting
43,Ciao!,greeting
44,Hola!,greeting
45,Namaste!,greeting
46,Shalom!,greeting
47,G'day!,greeting
48,Howdy!,greeting
49,"Hey there, how's it going?",greeting
50,Top of the day to you!,greeting
51,Well met!,greeting
52,What's up?,greeting
53,How are things in your world?,greeting
54,It's a pleasure to connect!,greeting
55,Lovely to see you!,greeting
56,Good morning!,greeting
57,Good afternoon!,greeting
58,Good evening!,greeting
59,Rise and shine!,greeting
60,How's everything going for you?,greeting
61,What's the good word?,greeting
62,How's life treating you?,greeting
63,How's your day going?,greeting
64,Howdy-do!,greeting
65,Nice to see you around!,greeting
66,What's the news?,greeting
67,How's your energy today?,greeting
68,How's the vibe on your end?,greeting
69,What's the scoop?,greeting
70,What's cracking?,greeting
71,How's your day shaping up?,greeting
72,What's the haps?,greeting
73,What's the latest and greatest?,greeting
74,How are you feeling today?,greeting
75,How's the world treating you?,greeting
76,How's the day treating you so far?,greeting
77,What's the 411?,greeting
78,Any exciting plans for today?,greeting
79,What's on your agenda?,greeting
80,How's your schedule looking?,greeting
81,What can I do for you?,greeting
82,How can I be of assistance?,greeting
83,Anything I can help you with?,greeting
84,What brings you here today?,greeting
85,How can I make your day better?,greeting
86,Is there something specific you're looking for?,greeting
