"text","intent"
"Hi","greeting"
"How are you","greeting"
"Good morning ","greeting"
"Good afternoon ","greeting"
"Good evening","greeting"
"Warm welcome ","greeting"
"Thank you ","greeting"
"How do you do ","greeting"
"Nice to meet you","greeting"
"All the best","greeting"
"Pleased to meet you","greeting"
"Hey ","greeting"
"Best wishes","greeting"
"Good wishes","greeting"
"What's happening ","greeting"
"Welcome","greeting"
"How goes it","greeting"
"Regard","greeting"
"Greetings","greeting"
"Is anyone there?","greeting"
"Hello","greeting"
"Good day","greeting"
"Welcome back","greeting"
"Whats up","greeting"
"how are ya","greeting"
"heyy","greeting"
"whatsup","greeting"
"Have a great rest of your day","goodbye"
"It was a pleasure seeing you","goodbye"
"cya","goodbye"
"see you","goodbye"
"bye bye","goodbye"
"See you later","goodbye"
"Goodbye","goodbye"
"I am Leaving","goodbye"
"Bye","goodbye"
"Have a Good day","goodbye"
"talk to you later","goodbye"
"tyyl","goodbye"
"i got to go","goodbye"
"gtg","goodbye"
"Bye","goodbye"
"See you soon","goodbye"
"Farewell","goodbye"
"Taking off","goodbye"
"Off going ","goodbye"
"Retirement","goodbye"
"Have a good time","goodbye"
"Enjoy","goodbye"
"So long","goodbye"
"Leaving ","goodbye"
"Have fun","goodbye"
"Gotta go","goodbye"
"Parting","goodbye"
"Keep in touch","goodbye"
"what is the name of your developers","creator"
"what is the name of your creators","creator"
"what is the name of the developers","creator"
"what is the name of the creators","creator"
"who created you","creator"
"your developers","creator"
"what is your father's name","creator"
"your creators","creator"
"who are your developers","creator"
"developers","creator"
"you are made by","creator"
"you are made by whom","creator"
"who created you","creator"
"Composer","creator"
"Mastermind ","creator"
"Deviser","creator"
"Architect","creator"
"who create you","creator"
"parents","creator"
"Innovators","creator"
"Who innovates","creator"
"Designer","creator"
"creators","creator"
"Who discover you","creator"
"discovered","creator"
"who made you","creator"
"who designed you","creator"
"Date of establishment of college","creator"
"name","name"
"Introduction","name"
"Information","name"
"Information about you","name"
"Details","name"
"Information details","name"
"How can I collect your information ","name"
"Can you help me to know u?","name"
"introduce yourself","name"
"Tell me about yourself ","name"
"How can I know you","name"
"What is your information ","name"
"May I know you? ","name"
"May I know you","name"
"why don't you introduce yourself","name"
"your name","name"
"do you have a name","name"
"what are you called","name"
"what is your name","name"
"what should I call you","name"
"whats your name?","name"
"About you","name"
"what are you","name"
"who are you","name"
"who is this","name"
"what am i chatting to","name"
"who am i taking to","name"
"what are you","name"
"timing of college","hours"
"Initial time of starting","hours"
"Final time ","hours"
"Total time schedule ","hours"
"Time for each period","hours"
"what is college timing","hours"
"working days","hours"
"when are you guys open","hours"
"what are your hours","hours"
"hours of operation","hours"
"when is the college open","hours"
"college timing","hours"
"College hours ","hours"
"Break time","hours"
"what about college timing","hours"
"is college open on saturday","hours"
"tell something about college timing","hours"
"what is the college  hours","hours"
"when should i come to college","hours"
"when should i attend college","hours"
"what is my college time","hours"
"college timing","hours"
"College time routine","hours"
"What is the time interval of each subject","hours"
"When will the class over?","hours"
"Is there any early break?","hours"
"A subject consists of what time ?","hours"
"timing college","hours"
"more info","number"
"contact info","number"
"how to contact college","number"
"college telephone number","number"
"Contact information ","number"
"college number","number"
"What is your contact no","number"
"Contact number?","number"
"Teachers","number"
"Department number","number"
"College contact number","number"
"Landline number ","number"
"Civil department contact number","number"
"Computer department contact number ","number"
"Electrical department contact number","number"
"Ict contact number","number"
"how to call you","number"
"College phone no?","number"
"how can i contact you","number"
"Can i get your phone number","number"
"how can i call you","number"
"Exam section ","number"
"Library section","number"
"Account section ","number"
"Administration section","number"
"phone number","number"
"phone no","number"
"call","number"
"list of courses","course"
"list of courses offered","course"
"list of courses offered in NEC","course"
"what are the courses offered in your college?","course"
"courses?","course"
"Subjects","course"
"Exam oriented topics ","course"
"courses offered","course"
"courses offered in NEC","course"
"courses you offer","course"
"branches?","course"
"courses available at NEC?","course"
"Is project a course?","course"
"branches available at NEC?","course"
"what are the courses in NEC?","course"
"what are branches in NEC?","course"
"what are courses in NEC?","course"
"branches available in NEC?","course"
"can you tell me the courses available in NEC?","course"
"Engineering","course"
"Civil engineering?","course"
"Courses of each branch","course"
"Computer engineering?","course"
"IT engineering?","course"
"Mechanical engineering?","course"
"EXTC engineering?","course"
"Electrical engineering?","course"
"Architecture engineering","course"
"Courses in civik engineering","course"
"Courses in electrical engineering ","course"
"Electronics engineering?","course"
"Civil and Rural engineering?","course"
"civil","course"
"it","course"
"IT","course"
"Computer","course"
"Mechanical","course"
"EXTC","course"
"Electrical","course"
"Comps","course"
"Architecture","course"
"information about fee","fees"
"tuition fee","fees"
"fee of computer engineering","fees"
"information on fee","fees"
"tell me the fee","fees"
"college fee","fees"
"fee per semester","fees"
"what is the fee of each semester","fees"
"what is the fees of each year","fees"
"what is fee","fees"
"what is the fees","fees"
"how much is the fees","fees"
"fees for first year","fees"
"fees","fees"
"about the fees","fees"
"tell me something about the fees","fees"
"fees fe","fees"
"fees se","fees"
"fees te","fees"
"fees be","fees"
"fees me","fees"
"fees comps","fees"
"fees it","fees"
"fees mech","fees"
"fees electrical","fees"
"fees computer","fees"
"fees mechanical","fees"
"fees automobile","fees"
"fees open fe","fees"
"fees open se","fees"
"Total fee of BE","fees"
"Total fee of BEarchi","fees"
"Total fee of BE electronic ","fees"
"How much does it cost to study BE","fees"
"Transportation fees","fees"
"Hostel fees","fees"
"Examination fees","fees"
"Tour fees","fees"
"Educational tour fees","fees"
"fees open te","fees"
"fees open be","fees"
"where is nec","location"
"where is NEC college","location"
"where is the college located","location"
"college is located at","location"
"where is college","location"
"where is college located","location"
"address of college","location"
"how to reach college","location"
"college location","location"
"college address","location"
"wheres the college","location"
"College route ","location"
"Where is block b of college?","location"
"Where is block c of college?","location"
"Which one is block A?","location"
"Where is girls hostel?","location"
